keyword,program_name,faculty,university,program_type,tuition_fee,url,scrape_time
วิศวกรรม ปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (หลักสูตรนานาชาติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมหุ่นยนต์,จุฬาลงกรณ์มหาวิทยาลัย,นานาชาติ,ดูรายละเอียดเพิ่มเติม https://www.chula.ac.th/academics/admissions/tuition-and-fees/,https://course.mytcas.com/programs/10010121302901E,2025-07-28 02:39:17
วิศวกรรม ปัญญาประดิษฐ์,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์) วิศวกรรมระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,มหาวิทยาลัยขอนแก่น ขอนแก่น,ภาษาไทย ปกติ,ค่าธรรมเนียมการศึกษา (ชาวไทย) 30000 บาท/เทอม,https://course.mytcas.com/programs/10030104302301A,2025-07-28 02:39:25
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ.วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมหุ่นยนต์,มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,ภาษาไทย ปกติ,"232,000",https://course.mytcas.com/programs/10040106302901A,2025-07-28 02:39:33
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา",https://course.mytcas.com/programs/10100101300502A,2025-07-28 02:39:44
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ (ภาษาไทย ปกติ),วิทยาลัยการคอมพิวเตอร์ > วิศวกรรมปัญญาประดิษฐ์,มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 38,000 บาทต่อภาคการศึกษา (เรียน 6 ภาคการศึกษา) หรือตลอดหลักสูตร 228,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",https://course.mytcas.com/programs/10100329303701A,2025-07-28 02:39:49
วิศวกรรม ปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมระบบอัจฉริยะ ปริญญาตรี 4 ปี (พื้นที่การศึกษาราชบุรี) สาขาวิชาวิศวกรรมระบบอัจฉริยะ - วศ.บ 4 ปี (พื้นที่การศึกษาราชบุรี) (ภาษาไทย ปกติ),วิทยาลัยสหวิทยาการ > วิศวกรรมปัญญาประดิษฐ์,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ภาษาไทย ปกติ,https://kmutt.me/TUITION-FEES-BS-KMUTT,https://course.mytcas.com/programs/10140136303701A,2025-07-28 02:39:53
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ. วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (หลักสูตรนานาชาติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมหุ่นยนต์,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,นานาชาติ,"105,000 ต่อภาคการศึกษา",https://course.mytcas.com/programs/10160101302901E,2025-07-28 02:39:58
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และการเป็นผู้ประกอบการ (หลักสูตรนานาชาติ) (หลักสูตรร่วม สจล. และ ม.กรุงเทพ) (Joint Degree - นานาชาติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมปัญญาประดิษฐ์,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,Joint Degree - นานาชาติ,"175,000 ต่อภาคการศึกษา",https://course.mytcas.com/programs/10160101303701I,2025-07-28 02:40:03
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ. เทคโนโลยีวัสดุชาญฉลาด วศ.บ.วิศวกรรมหุ่นยนต์และปัญญาประดิษฐ์ (หลักสูตรนานาชาติ) หลักสูตรสองปริญญา (Double Degree - นานาชาติ พิเศษ),วิทยาลัยเทคโนโลยีและนวัตกรรมวัสดุ > วิศวกรรมวัสดุ,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ลาดกระบัง,Double Degree - นานาชาติ พิเศษ,"120,000 ต่อภาคการศึกษา",https://course.mytcas.com/programs/10160111302502G,2025-07-28 02:40:07
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ.สาขาวิชาวิศวกรรมปัญญาประดิษฐ์และการสั่งการ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมปัญญาประดิษฐ์,มหาวิทยาลัยอุบลราชธานี วิทยาเขตหลัก,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 28,000 ต่อภาคการศึกษา หรือ 224,000 ตลอดหลักสูตร",https://course.mytcas.com/programs/10180113303703A,2025-07-28 02:40:12
วิศวกรรม ปัญญาประดิษฐ์,วิศวกรรมศาสตรบัณฑิต สาขาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),วิศวกรรมศาสตร์และเทคโนโลยี > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยวลัยลักษณ์,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 32,700 ต่อภาคเรียน",https://course.mytcas.com/programs/10230125300501A,2025-07-28 02:40:16
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และนวัตกรรมดิจิทัล (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย สงขลา,ภาษาไทย ปกติ,"110,000",https://course.mytcas.com/programs/31970104300502A,2025-07-28 02:40:20
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ.วิศวกรรมเครื่องกล-ระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมเครื่องกล,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน ขอนแก่น,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 12,000 ต่อภาคเรียน หรือ 96,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/31990331300703A,2025-07-28 02:40:25
วิศวกรรม ปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์) (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยหอการค้าไทย,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 340,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/40560107300501A,2025-07-28 02:40:29
วิศวกรรม ปัญญาประดิษฐ์,วศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ สาขาวิชาวศ.บ. วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),วิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีมหานคร,ภาษาไทย ปกติ,_,https://course.mytcas.com/programs/40610130300501A?major=A,2025-07-28 02:40:33
วิศวกรรม ปัญญาประดิษฐ์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีสารสนเทศและปัญญาประดิษฐ์ (ภาษาไทย ปกติ),วิทยาลัยวิศวกรรมศาสตร์และเทคโนโลยี > เทคโนโลยีสารสนเทศ,มหาวิทยาลัยธุรกิจบัณฑิตย์,ภาษาไทย ปกติ,ค่าเล่าเรียนตลอดหลักสูตร 321000 บาท,https://course.mytcas.com/programs/41030102220101A,2025-07-28 02:40:38
วิศวกรรม ปัญญาประดิษฐ์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์และเทคโนโลยี > วิศวกรรมปัญญาประดิษฐ์,สถาบันการจัดการปัญญาภิวัฒน์ แจ้งวัฒนะ นนทบุรี,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 384,000 บาท ตลอดหลักสูตร (มีทุนการศึกษาสนับสนุน และสามารถกู้ กยศ.2 ได้)",https://course.mytcas.com/programs/49180101303701A,2025-07-28 02:40:42
วิศวกรรม คอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย ปกติ,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",https://course.mytcas.com/programs/10010121300501A,2025-07-28 02:40:54
วิศวกรรม คอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,จุฬาลงกรณ์มหาวิทยาลัย,ภาษาไทย ปกติ,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",https://course.mytcas.com/programs/10010121300599A,2025-07-28 02:40:59
วิศวกรรม คอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,ภาษาไทย ปกติ,ไม่พบข้อมูล,https://course.mytcas.com/programs/10020105300501A,2025-07-28 02:41:03
วิศวกรรม คอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ กำแพงแสน > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์ กำแพงแสน,ภาษาไทย ปกติ,"156,000",https://course.mytcas.com/programs/10020220300501A,2025-07-28 02:41:08
วิศวกรรม คอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ ศรีราชา > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์ ศรีราชา,ภาษาไทย ปกติ,"232,800",https://course.mytcas.com/programs/10020328300502A,2025-07-28 02:41:12
วิศวกรรม คอมพิวเตอร์,วท.บ. สาขาวิชาวิทยาการคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิทยาศาสตร์และวิศวกรรมศาสตร์ > วิทยาการคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์ เฉลิมพระเกียรติ จ.สกลนคร,ภาษาไทย ปกติ,ไม่พบข้อมูล,https://course.mytcas.com/programs/10020430220201A,2025-07-28 02:41:17
วิศวกรรม คอมพิวเตอร์,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิทยาศาสตร์และวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเกษตรศาสตร์ เฉลิมพระเกียรติ จ.สกลนคร,ภาษาไทย ปกติ,ไม่พบข้อมูล,https://course.mytcas.com/programs/10020430300501A,2025-07-28 02:41:21
วิศวกรรม คอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยขอนแก่น ขอนแก่น,ภาษาไทย ปกติ,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม,https://course.mytcas.com/programs/10030104300501A,2025-07-28 02:41:25
วิศวกรรม คอมพิวเตอร์,วศ.บ.วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,ภาษาไทย ปกติ,"184,000",https://course.mytcas.com/programs/10040106300501A,2025-07-28 02:41:30
วิศวกรรม คอมพิวเตอร์,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย (นานาชาติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเชียงใหม่ วิทยาเขตหลัก,นานาชาติ,"400,000",https://course.mytcas.com/programs/10040106300502E,2025-07-28 02:41:34
วิศวกรรม คอมพิวเตอร์,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,ภาษาไทย ปกติ,"18,900 บาท ต่อภาคการศึกษา",https://course.mytcas.com/programs/10050210300501A,2025-07-28 02:41:39
วิศวกรรม คอมพิวเตอร์,วศ.บ.สาขาวิชาวิศวกรรมดิจิทัล และวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) (SIIT),สถาบันเทคโนโลยีนานาชาติสิรินธร > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยธรรมศาสตร์ ศูนย์รังสิต,นานาชาติ,"101,200 บาท ต่อภาคการศึกษา",https://course.mytcas.com/programs/10050222300501E,2025-07-28 02:41:43
วิศวกรรม คอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยมหิดล ศาลายา,ภาษาไทย ปกติ,"30,000 บาท ต่อภาคการศึกษา",https://course.mytcas.com/programs/10060112300501A,2025-07-28 02:41:47
วิศวกรรม คอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม > วิศวกรรมอิเล็กทรอนิกส์,มหาวิทยาลัยศิลปากร สนามจันทร์,ภาษาไทย ปกติ,"152,000",https://course.mytcas.com/programs/10080209303401A,2025-07-28 02:41:52
วิศวกรรม คอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ (ภาษาไทย พิเศษ),คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม > วิศวกรรมอิเล็กทรอนิกส์,มหาวิทยาลัยศิลปากร สนามจันทร์,ภาษาไทย พิเศษ,"280,000",https://course.mytcas.com/programs/10080209303401B,2025-07-28 02:41:57
วิศวกรรม คอมพิวเตอร์,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์,ภาษาไทย ปกติ,"200,000 บาท ตลอดหลักสูตร",https://course.mytcas.com/programs/10090209300501A,2025-07-28 02:42:01
วิศวกรรม คอมพิวเตอร์,วศ.บ. วิศวกรรมคอมพิวเตอร์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 18,000.-/ภาคการศึกษา",https://course.mytcas.com/programs/10100101300501A,2025-07-28 02:42:05
วิศวกรรม คอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์ (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยสงขลานครินทร์ หาดใหญ่,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 28,000.-/ภาคการศึกษา",https://course.mytcas.com/programs/10100101300502A,2025-07-28 02:42:10
วิศวกรรม คอมพิวเตอร์,วศ.บ. วิศวกรรมดิจิทัล (หลักสูตรนานาชาติ),วิทยาลัยการคอมพิวเตอร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,นานาชาติ,"อัตราค่าเล่าเรียน 48,000 บาทต่อภาคการศึกษา (เรียน 8 ภาคการศึกษา) หรือตลอดหลักสูตร 384,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",https://course.mytcas.com/programs/10100329300501E,2025-07-28 02:42:14
วิศวกรรม คอมพิวเตอร์,วศ.บ. วิศวกรรมปัญญาประดิษฐ์และระบบอัจฉริยะ (ภาษาไทย ปกติ),วิทยาลัยการคอมพิวเตอร์ > วิศวกรรมปัญญาประดิษฐ์,มหาวิทยาลัยสงขลานครินทร์ ภูเก็ต,ภาษาไทย ปกติ,"อัตราค่าเล่าเรียน 38,000 บาทต่อภาคการศึกษา (เรียน 6 ภาคการศึกษา) หรือตลอดหลักสูตร 228,000 บาท และต้องชำระค่าธรรมเนียมแรกเข้าอีก 15,000 บาท",https://course.mytcas.com/programs/10100329303701A,2025-07-28 02:42:18
วิศวกรรม คอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี (หลักสูตรนานาชาติ) สาขาวิชาวิศวกรรมคอมพิวเตอร์ (หลักสูตรนานาชาติ) - วศ.บ. 4 ปี,คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,นานาชาติ,https://kmutt.me/TUITION-FEES-BS-KMUTT,https://course.mytcas.com/programs/10140107300502E,2025-07-28 02:42:22
วิศวกรรม คอมพิวเตอร์,วิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์ ปริญญาตรี 4 ปี สาขาวิชาวิศวกรรมคอมพิวเตอร์ - วศ.บ. 4 ปี (ภาษาไทย ปกติ),คณะวิศวกรรมศาสตร์ > วิศวกรรมคอมพิวเตอร์,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ภาษาไทย ปกติ,https://kmutt.me/TUITION-FEES-BS-KMUTT,https://course.mytcas.com/programs/10140107300507A,2025-07-28 02:42:27
วิศวกรรม คอมพิวเตอร์,ครุศาสตร์อุตสาหกรรมบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้า ปริญญาตรี 5 ปี สาขาวิชาวิศวกรรมไฟฟ้า - วิชาโทวิศวกรรมคอมพิวเตอร์ (ค.อ.บ. 5 ปี) (ภาษาไทย ปกติ),คณะครุศาสตร์อุตสาหกรรมและเทคโนโลยี > ไฟฟ้า,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี บางมด,ภาษาไทย ปกติ,https://kmutt.me/TUITION-FEES-BS-KMUTT,https://course.mytcas.com/programs/10140108701904A?major=C,2025-07-28 02:42:32
